player_name,position,team,projected_points,adp
Kaleb Johnson,RB,PIT,32.0,217.5
Savion Williams,WR,GB,32.0,999.0
Devin Neal,RB,NO,31.9,211.9
Jackson Hawes,TE,BUF,31.9,613.5
Tommy Tremble,TE,CAR,31.8,999.0
John Bates,TE,WAS,31.8,999.0
Matt Hibner,TE,BAL,31.8,999.0
Miles Kitselman,TE,,31.6,419.0
Lance Mason,TE,PIT,31.6,589.2
Jaren Kanak,TE,TEN,31.6,530.2
Drew Sample,TE,CIN,31.6,999.0
Josh Oliver,TE,MIN,31.4,999.0
Luke Schoonmaker,TE,DAL,31.4,999.0
Isaiah Williams,WR,NYJ,31.3,999.0
Kyle Williams,WR,NE,31.2,222.1
Ben Sauls,K,NYG,31.0,369.0
Colbie Young,WR,CIN,31.0,999.0
J'Mari Taylor,RB,JAX,30.7,999.0
Devin Singletary,RB,NYG,30.6,999.0
Taylen Green,QB,CLE,30.3,999.0
Jimmy Horn,WR,CAR,30.2,999.0
Aaron Anderson,WR,,30.2,674.9
Adam Randall,RB,BAL,30.1,999.0
Eric McAlister,WR,,30.1,999.0
DJ Giddens,RB,IND,30.0,999.0
Devontez Walker,WR,BAL,29.9,999.0
Nick Westbrook-Ikhine,WR,IND,29.5,999.0
Marlin Klein,TE,HOU,29.5,999.0
Eric Rivers,WR,TB,29.4,596.6
Brevyn Spann-Ford,TE,DAL,29.4,999.0
Tai Felton,WR,MIN,29.2,692.7
Brandin Cooks,WR,,28.8,999.0
Joe Flacco,QB,CIN,28.72,999.0
Tyler Lockett,WR,,28.3,999.0
Odell Beckham,WR,NYG,28.0,999.0
Gardner Minshew,QB,ARI,27.96,677.8
Adam Trautman,TE,DEN,27.8,682.8
Josh Cuevas,TE,BAL,27.8,697.1
Kalif Raymond,WR,CHI,27.7,999.0
Ben Sinnott,TE,WAS,27.5,999.0
Nate Boerkircher,TE,JAX,27.4,999.0
Brock Wright,TE,DET,27.3,690.8
Derek Carr,QB,,27.18,999.0
Jawhar Jordan,RB,HOU,27.0,999.0
Will Dissly,TE,,27.0,556.0
David Sills,WR,TB,26.9,405.0
Marquez Valdes-Scantling,WR,DAL,26.9,629.8
Roman Wilson,WR,PIT,26.8,999.0
Mac Jones,QB,SF,26.72,999.0
Najee Harris,RB,NYG,26.3,216.2
Reggie Virgil,WR,ARI,26.1,999.0
Jermaine Burton,WR,,26.0,594.0
Jahdae Walker,WR,CHI,25.9,999.0
Grant Calcaterra,TE,PHI,25.6,685.8
Desmond Reid,RB,,25.3,652.5
George Holani,RB,SEA,25.2,999.0
Ja'Tavion Sanders,TE,CAR,24.9,999.0
Demond Claiborne,RB,MIN,24.8,242.0
Tahj Brooks,RB,CIN,24.4,999.0
Kareem Hunt,RB,,24.2,999.0
Xavier Smith,WR,LAR,24.1,551.0
Cade Klubnik,QB,NYJ,24.0,999.0
Lil'Jordan Humphrey,WR,DEN,24.0,999.0
Jordan Whittington,WR,LAR,23.3,999.0
Deion Burks,WR,IND,23.3,999.0
Ollie Gordon,RB,MIA,23.2,999.0
Audric Estime,RB,NO,22.6,237.4
Will Howard,QB,PIT,22.5,999.0
Drew Allar,QB,PIT,22.02,699.6
Anthony Richardson,QB,IND,21.32,999.0
Jam Miller,RB,NE,20.4,999.0
Brashard Smith,RB,KC,19.9,226.3
Younghoe Koo,K,,18.0,339.0
Mitchell Evans,TE,CAR,15.7,999.0
Mo Alie-Cox,TE,IND,15.4,527.6
Tip Reiman,TE,ARI,15.4,999.0
Connor Heyward,TE,LV,14.7,682.0
