player_name,position,team,projected_points,source_count,sigma_cross,adp,adp_local,adp_global,ecr,floor_points,ceiling_points
Gunnar Helm,TE,TEN,114.2,3,10.140182444118063,168.0,233.1,168.0,207.0,,
Joey Slye,K,TEN,113.93,3,22.0440082562133,351.0,351.0,351.0,387.0,,
Alvin Kamara,RB,NO,113.44,4,28.77042926339473,155.0,163.1,155.0,156.0,76.6,225.7
Tre' Harris,WR,LAC,112.7,3,13.308299415527642,169.5,230.0,169.5,172.0,,
Adonai Mitchell,WR,NYJ,112.35,4,17.997962847685475,165.4,230.6,165.4,157.0,121.6,257.3
Minnesota Vikings,DEF,MIN,111.88499999999999,4,30.839691281420656,151.2,151.3,151.2,185.0,103.6,133.7
Pittsburgh Steelers,DEF,PIT,111.85499999999999,4,26.547963355657497,156.6,162.0,156.6,182.0,104.4,132.5
Chad Ryland,K,ARI,111.66,3,20.058876671771362,350.0,350.0,350.0,399.0,,
Oronde Gadsden,TE,LAC,111.0,3,21.237458259719634,154.9,129.7,154.9,203.0,,
Devaughn Vele,WR,NO,110.6,3,12.443122598447706,168.2,239.8,168.2,246.0,,
Ryan Fitzgerald,K,CAR,107.91,3,20.13891837545734,347.0,347.0,347.0,411.0,,
Baltimore Ravens,DEF,BAL,107.65,4,26.012609121988,153.2,136.0,153.2,198.0,105.6,133.9
Los Angeles Chargers,DEF,LAC,107.325,4,32.97975073182533,159.4,180.0,159.4,190.0,99.7,131.6
Los Angeles Rams,DEF,LAR,107.13499999999999,4,41.1252950344027,108.7,88.4,108.7,168.0,100.7,130.4
Germie Bernard,WR,PIT,106.8,3,5.404923681237316,171.0,229.8,171.0,235.0,,
New England Patriots,DEF,NE,106.71000000000001,4,25.30449433071788,146.4,137.6,146.4,183.0,99.4,129.2
Detroit Lions,DEF,DET,106.705,4,20.7961220343281,159.2,153.6,159.2,221.0,98.6,133.6
Buffalo Bills,DEF,BUF,106.33500000000001,4,25.802497779607826,169.7,215.7,169.7,232.0,98.5,127.1
Shedeur Sanders,QB,CLE,106.28,3,14.48412004000703,170.2,236.1,170.2,293.0,,
