RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
116,Jacory Croskey-Merritt,RB,WAS,7,140,2,113.9,RB38,4.3,182,788,6,15,106,,7.1,0.9/1.1,,,,,,,140,4.6,175,805,8,9,68,,7.6,0.5/0.8,,,,,,,6,12.60
117,Dalton Kincaid,TE,BUF,7,175,24,120,TE11,,,,,66,791,5,12.0,3.9/5.4,,,,,,,126,,,,,39,571,5,14.6,3.3/4.1,,,,,,,6,12.70
118,Makai Lemon,WR,PHI,10,133,1,99.8,WR50,4.2,5,21,,47,602,4,12.8,2.8/4.6,,,,,,,,,,,,,,,,,,,,,,,6,12.80
119,KC Concepcion,WR,CLE,11,167,5,127.5,WR51,5.5,5,28,,65,812,3,12.5,3.8/6.3,,,,,,,,,,,,,,,,,,,,,,,6,12.90
120,Tyler Shough,QB,NO,8,293,11,134.6,QB20,4.3,72,312,4,,,,,,4033,24,10,67%,33.4,10.7,158,4.1,45,186,3,,,,,,2384,10,6,68%,29.7,10.8,5,13.00
121,Jonathon Brooks,RB,CAR,5,149,31,90.9,RB39,4.2,147,612,4,33,250,1,7.6,1.9/2.6,,,,,,,,2.4,9,,,3,,,7.7,1.0/1.0,,,,,,,5,13.10
122,Travis Kelce,TE,KC,5,194,14,108.3,TE12,,,,,77,808,6,10.5,4.5/6.5,,,,,,,193,1.0,1,1,,76,851,5,11.2,4.5/6.4,,,,,,,5,13.20
123,Chris Rodriguez Jr.,RB,JAX,7,98,16,137.5,RB40,4.4,109,481,6,4,31,1,7.2,0.3/0.4,,,,,,,92,4.5,112,500,6,3,30,,10.0,0.2/0.3,,,,,,,5,13.30
124,Malik Willis,QB,MIA,6,284,26,147,QB21,5.3,115,614,4,,,,,,3712,18,11,65%,30.8,10.8,51,5.6,22,123,2,,,,,,422,3,,86%,8.8,14.1,5,13.40
125,Rachaad White,RB,WAS,7,175,2,105.1,RB41,4.2,144,608,4,47,308,2,6.6,2.8/3.3,,,,,,,143,4.3,132,572,4,40,218,,5.4,2.4/2.6,,,,,,,5,13.50
126,Dallas Goedert,TE,PHI,10,172,1,110.9,TE13,,,,,67,691,6,10.3,3.9/5.4,,,,,,,185,,,,,60,591,11,9.8,4.0/5.5,,,,,,,5,13.60
127,Jalen Coker,WR,CAR,5,217,20,134.1,WR52,,,,,83,980,6,11.8,4.9/7.4,,,,,,,90,,,,,33,394,3,11.9,3.0/3.9,,,,,,,5,13.70
128,Jake Ferguson,TE,DAL,14,170,10,120.3,TE14,,,,,73,609,6,8.3,4.3/5.8,,,,,,,188,1.0,1,1,,82,600,8,7.3,4.8/6.0,,,,,,,5,13.80
129,Khalil Shakir,WR,BUF,7,173,21,132.6,WR53,6.0,2,10,,71,765,4,10.8,4.2/5.6,,,,,,,166,5.0,1,5,,72,719,4,10.0,4.5/5.9,,,,,,,5,13.90
130,Aaron Jones Sr.,RB,MIN,6,191,10,120.1,RB42,4.3,157,674,5,47,347,2,7.4,2.8/3.8,,,,,,,119,4.2,132,548,2,28,199,1,7.1,2.3/3.4,,,,,,,5,14.00
131,Keaton Mitchell,RB,LAC,7,113,28,137.7,RB43,4.7,71,331,3,27,224,2,8.3,1.6/2.2,,,,,,,55,5.8,59,341,1,9,63,,7.0,0.7/0.9,,,,,,,5,14.10
132,Romeo Doubs,WR,NE,11,157,28,127.3,WR54,,,,,55,717,5,13.0,3.2/5.0,,,,,,,165,,,,,55,724,6,13.2,3.4/5.3,,,,,,,4,14.20
